Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_11,0.9563425183296204,0.950657844543457,0.9707290530204773,0.9790812730789185,0.0,0.31522056460380554,0.3779464066028595,0.9403505325317383,0.968766450881958,0.9403505325317383,0.7494816184043884,0.9790812730789185,0.968766450881958,0.6048899292945862,0.4849383234977722,48.49383234977722
structure_12,0.8809416890144348,0.8925632238388062,0.8204051852226257,0.834455668926239,0.0,0.6369193196296692,1.821210265159607,0.9124447703361511,0.9062516689300537,0.9124447703361511,0.4853065609931946,0.834455668926239,0.9062516689300537,0.794127345085144,0.4720883369445801,47.20883369445801
structure_13,0.9563493728637695,0.9504092931747437,0.9726058840751648,0.9801097512245178,0.0,0.3098233938217163,0.3709174394607544,0.9313831925392151,0.9722435474395752,0.9313831925392151,0.7639423608779907,0.9801097512245178,0.9722435474395752,0.4161095917224884,0.590609073638916,59.0609073638916
structure_14,0.8220664858818054,0.8176783919334412,0.5469328165054321,0.8396187424659729,0.0,0.513654887676239,1.5939301252365112,0.9178294539451599,0.9081481695175171,0.9178294539451599,0.5230267643928528,0.8396187424659729,0.9081481695175171,0.8910946846008301,0.37369173765182495,37.369173765182495
structure_15,0.8290706872940063,0.8221668601036072,0.4991774559020996,0.8566859364509583,0.0,0.49869951605796814,1.475312352180481,0.9231009483337402,0.9050360321998596,0.9231009483337402,0.47447580099105835,0.8566859364509583,0.9050360321998596,0.8955172300338745,0.3599851131439209,35.99851131439209
structure_16,0.8892597556114197,0.8847238421440125,0.7302230000495911,0.9074033498764038,0.0,0.41413187980651855,1.002602458000183,0.9417486190795898,0.9378031492233276,0.9417486190795898,0.5617905259132385,0.9074033498764038,0.9378031492233276,0.6463307738304138,0.4625043272972107,46.25043272972107
structure_17,0.9159226417541504,0.9136353135108948,0.8648913502693176,0.9250720143318176,0.0,0.38930264115333557,0.7584691047668457,0.9445316195487976,0.9034373760223389,0.9445316195487976,0.5537114143371582,0.9250720143318176,0.9034373760223389,0.5692068338394165,0.3026045858860016,30.26045858860016
structure_18,0.8409749865531921,0.8513153195381165,0.6445842981338501,0.7996139526367188,0.0,0.6063227653503418,1.981681227684021,0.9099951982498169,0.9162184000015259,0.9099951982498169,0.4511432647705078,0.7996139526367188,0.9162184000015259,0.7142767310142517,0.4354016184806824,43.54016184806824
structure_19,0.9399916529655457,0.9421562552452087,0.9393649101257324,0.9313334822654724,0.0,0.39513036608695984,0.739238440990448,0.9227715730667114,0.9037841558456421,0.9227715730667114,0.5790131092071533,0.9313334822654724,0.9037841558456421,0.5115944147109985,0.27661240100860596,27.661240100860596
structure_20,0.9350962042808533,0.9238831400871277,0.9127023220062256,0.9799480438232422,0.0,0.31914445757865906,0.4083314538002014,0.952825665473938,0.9722692370414734,0.952825665473938,0.7641658186912537,0.9799480438232422,0.9722692370414734,0.5212474465370178,0.5176188349723816,51.76188349723816
